home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime
Atletico San Luis,Mazatlán,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Club Queretaro,U.N.A.M. - Pumas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Puebla,Toluca,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Club Tijuana,Club Queretaro,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Leon,Cruz Azul,,,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara Chivas,Necaxa,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Tigres UANL,Mazatlán,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Club America,Monterrey,True,False,2.0,1.0,1.0,1.0,2.0,1.0
U.N.A.M. - Pumas,Atletico San Luis,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Santos Laguna,Pachuca,False,True,1.0,4.0,1.0,2.0,1.0,4.0
FC Juarez,Atlas,,,1.0,1.0,1.0,1.0,1.0,1.0
Atletico San Luis,FC Juarez,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Necaxa,Puebla,,,1.0,1.0,0.0,0.0,1.0,1.0
Mazatlán,Club Tijuana,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Atlas,Pachuca,True,False,4.0,1.0,3.0,0.0,4.0,1.0
Leon,Guadalajara Chivas,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Cruz Azul,Club America,False,True,1.0,3.0,1.0,1.0,1.0,3.0
U.N.A.M. - Pumas,Toluca,True,False,3.0,1.0,3.0,1.0,3.0,1.0
Club Queretaro,Tigres UANL,,,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,Santos Laguna,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Tigres UANL,Puebla,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Necaxa,Atlas,False,True,1.0,3.0,0.0,3.0,1.0,3.0
Mazatlán,Monterrey,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Club Tijuana,Leon,,,0.0,0.0,0.0,0.0,0.0,0.0
Pachuca,Atletico San Luis,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Guadalajara Chivas,Cruz Azul,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Club America,U.N.A.M. - Pumas,,,1.0,1.0,0.0,0.0,1.0,1.0
Toluca,FC Juarez,,,1.0,1.0,1.0,0.0,1.0,1.0
Santos Laguna,Club Queretaro,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Puebla,Club Tijuana,True,False,5.0,2.0,2.0,1.0,5.0,2.0
FC Juarez,Club America,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Atletico San Luis,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,U.N.A.M. - Pumas,True,False,4.0,1.0,4.0,1.0,4.0,1.0
Guadalajara Chivas,Mazatlán,True,False,4.0,1.0,2.0,1.0,4.0,1.0
Cruz Azul,Santos Laguna,True,False,3.0,2.0,2.0,0.0,3.0,2.0
Toluca,Necaxa,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Club Queretaro,Pachuca,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Leon,Tigres UANL,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Pachuca,Santos Laguna,False,True,4.0,4.0,3.0,2.0,4.0,4.0
Leon,Atlético San Luis,False,True,1.0,3.0,1.0,3.0,1.0,3.0
Cruz Azul,Atlas,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Monterrey,Santos Laguna,True,False,2.0,0.0,1.0,0.0,2.0,0.0
